source,destination,permanent,reason
/air-conditioner/,/air-conditioner.html,true,clean-option-route
/air-conditioning,/air-conditioning.html,true,clean-option-route
/air-conditioning-eagle-mountain-ut,/ac-installation-eagle-mountain-ut.html,true,legacy-live-route
/air-conditioning-eagle-mountain-ut/,/ac-installation-eagle-mountain-ut.html,true,legacy-live-route
/air-conditioning-heating-discounts-lehi-ut,/air-conditioning.html,true,legacy-live-route
/air-conditioning-heating-discounts-lehi-ut/,/air-conditioning.html,true,legacy-live-route
/air-conditioning-lehi-ut,/air-conditioning.html,true,legacy-live-route
/air-conditioning-lehi-ut/,/air-conditioning.html,true,legacy-live-route
/air-conditioning-repair-lehi-ut,/ac-repair-lehi-ut.html,true,legacy-live-route
/air-conditioning-repair-lehi-ut/,/ac-repair-lehi-ut.html,true,legacy-live-route
/air-conditioning-saratoga-springs-ut,/ac-installation-saratoga-springs-ut.html,true,legacy-live-route
/air-conditioning-saratoga-springs-ut/,/ac-installation-saratoga-springs-ut.html,true,legacy-live-route
/air-conditioning-service-eagle-mountain-ut,/ac-installation-eagle-mountain-ut.html,true,legacy-live-route
/air-conditioning-service-eagle-mountain-ut/,/ac-installation-eagle-mountain-ut.html,true,legacy-live-route
/air-conditioning-services-lehi-ut,/ventilation.html,true,legacy-live-route
/air-conditioning-services-lehi-ut/,/ventilation.html,true,legacy-live-route
/air-conditioning/,/air-conditioning.html,true,clean-option-route
/air-duct-cleaning,/air-duct-cleaning.html,true,clean-option-route
/air-duct-cleaning/,/air-duct-cleaning.html,true,clean-option-route
/air-filter-changeouts-lehi-ut,/air-filters.html,true,legacy-live-route
/air-filter-changeouts-lehi-ut/,/air-filters.html,true,legacy-live-route
/air-filter-installation-lehi-ut,/air-filters.html,true,legacy-live-route
/air-filter-installation-lehi-ut/,/air-filters.html,true,legacy-live-route
/air-filters,/air-filters.html,true,clean-option-route
/air-filters-lehi-ut,/air-filters.html,true,legacy-live-route
/air-filters-lehi-ut/,/air-filters.html,true,legacy-live-route
/air-filters/,/air-filters.html,true,clean-option-route
/air-filtration-electronic-air-cleaners-lehi-ut,/filtration.html,true,legacy-live-route
/air-filtration-electronic-air-cleaners-lehi-ut/,/filtration.html,true,legacy-live-route
/air-filtration-hepa-air-cleaners-lehi-ut,/filtration.html,true,legacy-live-route
/air-filtration-hepa-air-cleaners-lehi-ut/,/filtration.html,true,legacy-live-route
/air-filtration-media-air-cleaners-lehi-ut,/filtration.html,true,legacy-live-route
/air-filtration-media-air-cleaners-lehi-ut/,/filtration.html,true,legacy-live-route
/air-purification-lehi-ut,/air-purifiers.html,true,legacy-live-route
/air-purification-lehi-ut/,/air-purifiers.html,true,legacy-live-route
/air-purifier-installation-lehi-ut,/air-purifiers.html,true,legacy-live-route
/air-purifier-installation-lehi-ut/,/air-purifiers.html,true,legacy-live-route
/air-purifiers,/air-purifiers.html,true,clean-option-route
/air-purifiers-lehi-ut,/air-purifiers.html,true,legacy-live-route
/air-purifiers-lehi-ut/,/air-purifiers.html,true,legacy-live-route
/air-purifiers/,/air-purifiers.html,true,clean-option-route
/air-quality-testing-lehi-ut,/indoor-air-quality.html,true,legacy-live-route
/air-quality-testing-lehi-ut/,/indoor-air-quality.html,true,legacy-live-route
/air-scrubbing-lehi-ut,/air-purifiers.html,true,legacy-live-route
/air-scrubbing-lehi-ut/,/air-purifiers.html,true,legacy-live-route
/all-of-air-express-heating-and-air-conditionings-services,/ventilation.html,true,legacy-live-route
/all-of-air-express-heating-and-air-conditionings-services/,/ventilation.html,true,legacy-live-route
/all-services,/all-services.html,true,clean-option-route
/all-services/,/all-services.html,true,clean-option-route
/allergy-reducers-lehi-ut,/indoor-air-quality.html,true,legacy-live-route
/allergy-reducers-lehi-ut/,/indoor-air-quality.html,true,legacy-live-route
/alpine-ut-air-conditioning-heating-services,/service-area-alpine.html,true,legacy-live-route
/alpine-ut-air-conditioning-heating-services/,/service-area-alpine.html,true,legacy-live-route
/amana,/other-products.html,true,legacy-live-route
/amana/,/other-products.html,true,legacy-live-route
/apply-for-financing-lehi-ut,/financing.html,true,legacy-live-route
/apply-for-financing-lehi-ut/,/financing.html,true,legacy-live-route
/benefits-and-applications-of-ductless-mini-split-systems,/ductless.html,true,legacy-live-route
/benefits-and-applications-of-ductless-mini-split-systems/,/ductless.html,true,legacy-live-route
/bluffdale-ut-air-conditioning-heating-services,/service-area-bluffdale.html,true,legacy-live-route
/bluffdale-ut-air-conditioning-heating-services/,/service-area-bluffdale.html,true,legacy-live-route
/carbon-dioxide-detector-lehi-ut,/other-services-tests.html,true,legacy-live-route
/carbon-dioxide-detector-lehi-ut/,/other-services-tests.html,true,legacy-live-route
/careers,/careers.html,true,clean-option-route
/careers/,/careers.html,true,clean-option-route
/central-air-conditioning-lehi-ut,/air-conditioning.html,true,legacy-live-route
/central-air-conditioning-lehi-ut/,/air-conditioning.html,true,legacy-live-route
/central-heating-lehi-ut,/heating-services.html,true,legacy-live-route
/central-heating-lehi-ut/,/heating-services.html,true,legacy-live-route
/central-hvac-services,/central-hvac-services.html,true,clean-option-route
/central-hvac-services-lehi-ut,/ventilation.html,true,legacy-live-route
/central-hvac-services-lehi-ut/,/ventilation.html,true,legacy-live-route
/central-hvac-services/,/central-hvac-services.html,true,clean-option-route
/central-hvac-systems,/central-hvac-systems.html,true,clean-option-route
/central-hvac-systems/,/central-hvac-systems.html,true,clean-option-route
/choosing-air-filtration-systems-guide,/filtration.html,true,legacy-live-route
/choosing-air-filtration-systems-guide/,/filtration.html,true,legacy-live-route
/client-referrals,/contact.html,true,legacy-live-route
/client-referrals/,/contact.html,true,legacy-live-route
/co2-detectors-lehi-ut,/other-services-tests.html,true,legacy-live-route
/co2-detectors-lehi-ut/,/other-services-tests.html,true,legacy-live-route
/commercial,/commercial.html,true,clean-option-route
/commercial-air-conditioning-heating-lehi-ut,/commercial.html,true,legacy-live-route
/commercial-air-conditioning-heating-lehi-ut/,/commercial.html,true,legacy-live-route
/commercial-buildings-heating-repair-issues,/commercial.html,true,legacy-live-route
/commercial-buildings-heating-repair-issues/,/commercial.html,true,legacy-live-route
/commercial-duct-cleaning-lehi-ut,/commercial.html,true,legacy-live-route
/commercial-duct-cleaning-lehi-ut/,/commercial.html,true,legacy-live-route
/commercial-furnace-replacement-guide,/commercial.html,true,legacy-live-route
/commercial-furnace-replacement-guide/,/commercial.html,true,legacy-live-route
/commercial-heating-repair-considerations,/commercial.html,true,legacy-live-route
/commercial-heating-repair-considerations/,/commercial.html,true,legacy-live-route
/commercial/,/commercial.html,true,clean-option-route
/complete-heating-maintenance-checklist-for-homeowners,/heating-maintenance.html,true,legacy-live-route
/complete-heating-maintenance-checklist-for-homeowners/,/heating-maintenance.html,true,legacy-live-route
/contact,/contact.html,true,legacy-live-route
/contact/,/contact.html,true,legacy-live-route
/control-indoor-humidity-and-the-hair-raising-truth,/indoor-air-quality.html,true,legacy-live-route
/control-indoor-humidity-and-the-hair-raising-truth/,/indoor-air-quality.html,true,legacy-live-route
/creating-a-more-comfortable-and-smarter-home,/resources.html,true,legacy-live-route
/creating-a-more-comfortable-and-smarter-home/,/resources.html,true,legacy-live-route
/daikin,/other-products.html,true,legacy-live-route
/daikin/,/other-products.html,true,legacy-live-route
/dealing-with-uneven-heating-issues,/heating-services.html,true,legacy-live-route
/dealing-with-uneven-heating-issues/,/heating-services.html,true,legacy-live-route
/dehumidifiers,/dehumidifiers.html,true,clean-option-route
/dehumidifiers-lehi-ut,/dehumidifiers.html,true,legacy-live-route
/dehumidifiers-lehi-ut/,/dehumidifiers.html,true,legacy-live-route
/dehumidifiers/,/dehumidifiers.html,true,clean-option-route
/discover-financial-benefits-of-proactive-furnace-repair,/furnace-repair.html,true,legacy-live-route
/discover-financial-benefits-of-proactive-furnace-repair/,/furnace-repair.html,true,legacy-live-route
/draper-ut-air-conditioning-heating-services,/service-area-draper.html,true,legacy-live-route
/draper-ut-air-conditioning-heating-services/,/service-area-draper.html,true,legacy-live-route
/duct-cleaning-lehi-ut,/air-duct-cleaning.html,true,legacy-live-route
/duct-cleaning-lehi-ut/,/air-duct-cleaning.html,true,legacy-live-route
/duct-planning-and-design-lehi-ut,/ductwork.html,true,legacy-live-route
/duct-planning-and-design-lehi-ut/,/ductwork.html,true,legacy-live-route
/duct-repair-lehi-ut,/ductwork.html,true,legacy-live-route
/duct-repair-lehi-ut/,/ductwork.html,true,legacy-live-route
/duct-replacement-lehi-ut,/ductwork.html,true,legacy-live-route
/duct-replacement-lehi-ut/,/ductwork.html,true,legacy-live-route
/duct-sealing-lehi-ut,/ductwork.html,true,legacy-live-route
/duct-sealing-lehi-ut/,/ductwork.html,true,legacy-live-route
